TITLE:       Long-term 30-day estimates of C20 from up to 8 SLR satellites                          
                                                                                                    
DESCRIPTION: Estimates of C20 and its variations relative to a reference value of -4.8416945732D-04.     
             Each estimate is based on 30-days of laser ranging from up to 8 satellites
             The epoch of each estimate is the mid-point of the 30-day span used.                   
             No de-aliasing or rate model has been applied. The series spans January                
             1976 to Present. The variations and the sigmas have been scaled                        
             by 1E10. The background model is described in the reference given below.               
             Both normalized and unnormalized values are provided for convenience.                  
                                                                                                    
CONTACT:     J. C. Ries                                                                             
             Center for Space Research                                                              
             The University of Texas at Austin                                                      
             Email: ries@csr.utexas.edu                                                             
                                                                                                    
REFERENCE:   Cheng, M., B. D. Tapley, and J. C. Ries (2013), "Deceleration in the Earth's           
             oblateness", J. Geophys. Res., doi:10.1002/jgrb.50058.                                 
                                                                                                    
   Year               C20         delta_C20  C20_sigma  delta_J2  J2_sigma  
  2004.45585   -4.8416952900E-04    -0.717    0.3122    1.6028    0.6982
  2004.53799   -4.8416959745E-04    -1.401    0.3739    3.1333    0.8360
  2004.62286   -4.8416954756E-04    -0.902    0.2293    2.0179    0.5127
  2004.70773   -4.8416957409E-04    -1.168    0.2777    2.6110    0.6209
  2004.78987   -4.8416950994E-04    -0.526    0.2622    1.1767    0.5864
  2004.87474   -4.8416946914E-04    -0.118    0.3226    0.2643    0.7213
  2004.95688   -4.8416928402E-04     1.733    0.2788   -3.8752    0.6234
  2005.04175   -4.8416929296E-04     1.644    0.2476   -3.6752    0.5537
  2005.12663   -4.8416932420E-04     1.331    0.2859   -2.9767    0.6394
  2005.20329   -4.8416933937E-04     1.180    0.3025   -2.6374    0.6765
  2005.28816   -4.8416937949E-04     0.778    0.2232   -1.7402    0.4991
  2005.37029   -4.8416936516E-04     0.922    0.2738   -2.0608    0.6123
  2005.45517   -4.8416934864E-04     1.087    0.2883   -2.4301    0.6447
  2005.53730   -4.8416956140E-04    -1.041    0.2618    2.3274    0.5855
  2005.62218   -4.8416955869E-04    -1.014    0.2617    2.2668    0.5851
  2005.70705   -4.8416956266E-04    -1.053    0.2570    2.3554    0.5747
  2005.78919   -4.8416950535E-04    -0.480    0.2276    1.0741    0.5090
  2005.87406   -4.8416943005E-04     0.273    0.2832   -0.6099    0.6333
  2005.95619   -4.8416924270E-04     2.146    0.2873   -4.7990    0.6425
  2006.04107   -4.8416933354E-04     1.238    0.2580   -2.7678    0.5769
  2006.12594   -4.8416933986E-04     1.175    0.2395   -2.6264    0.5355
  2006.20260   -4.8416939247E-04     0.649    0.2587   -1.4502    0.5785
  2006.28747   -4.8416939949E-04     0.578    0.2337   -1.2930    0.5225
  2006.36961   -4.8416949514E-04    -0.378    0.2867    0.8458    0.6410
  2006.45448   -4.8416947114E-04    -0.138    0.2932    0.3090    0.6556
  2006.53662   -4.8416960694E-04    -1.496    0.2021    3.3457    0.4518
  2006.62149   -4.8416948935E-04    -0.320    0.2829    0.7162    0.6326
  2006.70637   -4.8416956104E-04    -1.037    0.2137    2.3191    0.4778
  2006.78850   -4.8416957757E-04    -1.202    0.2010    2.6888    0.4495
  2006.87337   -4.8416937306E-04     0.843    0.2437   -1.8842    0.5450
  2006.95551   -4.8416941969E-04     0.376    0.2648   -0.8414    0.5921
  2007.04038   -4.8416943177E-04     0.255    0.2372   -0.5713    0.5304
  2007.12526   -4.8416933544E-04     1.219    0.2612   -2.7252    0.5841
  2007.20192   -4.8416932370E-04     1.336    0.2086   -2.9877    0.4664
  2007.28679   -4.8416939219E-04     0.651    0.2042   -1.4565    0.4567
  2007.36893   -4.8416941835E-04     0.390    0.2564   -0.8713    0.5734
  2007.45380   -4.8416938243E-04     0.749    0.2314   -1.6746    0.5175
  2007.53593   -4.8416947392E-04    -0.166    0.2773    0.3711    0.6202
  2007.62081   -4.8416959937E-04    -1.421    0.2947    3.1764    0.6591
  2007.70568   -4.8416959181E-04    -1.345    0.2306    3.0072    0.5157
  2007.78782   -4.8416953986E-04    -0.825    0.2301    1.8456    0.5146
  2007.87269   -4.8416949197E-04    -0.346    0.2682    0.7747    0.5998
  2007.95483   -4.8416942512E-04     0.322    0.3208   -0.7201    0.7172
  2008.03970   -4.8416943158E-04     0.257    0.2415   -0.5755    0.5400
  2008.12457   -4.8416944494E-04     0.124    0.2263   -0.2769    0.5061
  2008.20397   -4.8416947538E-04    -0.181    0.2029    0.4038    0.4536
  2008.28884   -4.8416936463E-04     0.927    0.2646   -2.0726    0.5916
  2008.37098   -4.8416939826E-04     0.591    0.2984   -1.3207    0.6672
  2008.45585   -4.8416955887E-04    -1.015    0.2631    2.2706    0.5883
  2008.53799   -4.8416963666E-04    -1.793    0.2640    4.0101    0.5902
  2008.62286   -4.8416965733E-04    -2.000    0.2704    4.4723    0.6047
  2008.70773   -4.8416962477E-04    -1.674    0.2205    3.7442    0.4931
  2008.78987   -4.8416965310E-04    -1.958    0.2114    4.3777    0.4727
  2008.87474   -4.8416953725E-04    -0.799    0.2588    1.7873    0.5787
  2008.95688   -4.8416949031E-04    -0.330    0.3364    0.7376    0.7522
  2009.04175   -4.8416943912E-04     0.182    0.2449   -0.4069    0.5476
  2009.12663   -4.8416939976E-04     0.576    0.2369   -1.2872    0.5298
  2009.20329   -4.8416947633E-04    -0.190    0.2099    0.4250    0.4693
  2009.28816   -4.8416948732E-04    -0.300    0.2515    0.6708    0.5623
  2009.37029   -4.8416945300E-04     0.043    0.2965   -0.0965    0.6630
  2009.45517   -4.8416942990E-04     0.274    0.3629   -0.6131    0.8114
  2009.53730   -4.8416952638E-04    -0.691    0.2810    1.5442    0.6284
  2009.62218   -4.8416956336E-04    -1.060    0.2894    2.3711    0.6471
  2009.70705   -4.8416960101E-04    -1.437    0.2297    3.2130    0.5137
  2009.78919   -4.8416951441E-04    -0.571    0.2737    1.2767    0.6121
  2009.87406   -4.8416943637E-04     0.209    0.2677   -0.4684    0.5985
  2009.95619   -4.8416938236E-04     0.750    0.3496   -1.6761    0.7818
  2010.04107   -4.8416931492E-04     1.424    0.2774   -3.1843    0.6202
  2010.12594   -4.8416937853E-04     0.788    0.2910   -1.7618    0.6507
  2010.20260   -4.8416946822E-04    -0.109    0.2290    0.2438    0.5121
  2010.28747   -4.8416949471E-04    -0.374    0.3345    0.8361    0.7480
  2010.36961   -4.8416946332E-04    -0.060    0.3087    0.1342    0.6903
  2010.45448   -4.8416960303E-04    -1.457    0.2894    3.2582    0.6472
  2010.53662   -4.8416972660E-04    -2.693    0.3811    6.0213    0.8521
  2010.62149   -4.8416972813E-04    -2.708    0.2549    6.0555    0.5700
  2010.70637   -4.8416965271E-04    -1.954    0.2530    4.3691    0.5657
  2010.78850   -4.8416969268E-04    -2.354    0.2584    5.2629    0.5778
  2010.87337   -4.8416958636E-04    -1.290    0.2832    2.8855    0.6332
  2010.95551   -4.8416935647E-04     1.008    0.4726   -2.2550    1.0569
  2011.04038   -4.8416937307E-04     0.843    0.2790   -1.8840    0.6238
  2011.12526   -4.8416943248E-04     0.248    0.2786   -0.5554    0.6229
  2011.20192   -4.8416951688E-04    -0.596    0.2237    1.3317    0.5003
  2011.28679   -4.8416953502E-04    -0.777    0.3165    1.7375    0.7078
  2011.36893   -4.8416955726E-04    -0.999    0.2494    2.2347    0.5576
  2011.45380   -4.8416956530E-04    -1.080    0.3059    2.4145    0.6840
  2011.53593   -4.8416962684E-04    -1.695    0.2807    3.7905    0.6278
  2011.62081   -4.8416962875E-04    -1.714    0.2223    3.8334    0.4970
  2011.70568   -4.8416963532E-04    -1.780    0.2070    3.9803    0.4629
  2011.78782   -4.8416968277E-04    -2.255    0.2466    5.0413    0.5515
  2011.87269   -4.8416953460E-04    -0.773    0.3124    1.7281    0.6985
  2011.95483   -4.8416959120E-04    -1.339    0.2894    2.9936    0.6471
  2012.03970   -4.8416953672E-04    -0.794    0.2643    1.7754    0.5910
  2012.12457   -4.8416947897E-04    -0.217    0.2396    0.4842    0.5358
  2012.20397   -4.8416957475E-04    -1.174    0.2301    2.6258    0.5145
  2012.28884   -4.8416960080E-04    -1.435    0.2951    3.2083    0.6600
  2012.37098   -4.8416954669E-04    -0.894    0.2265    1.9984    0.5065
  2012.45585   -4.8416958800E-04    -1.307    0.2800    2.9220    0.6262
  2012.53799   -4.8416977725E-04    -3.199    0.2150    7.1538    0.4809
  2012.62286   -4.8416975133E-04    -2.940    0.2015    6.5742    0.4507
  2012.70773   -4.8416975638E-04    -2.991    0.2351    6.6872    0.5256
  2012.78987   -4.8416960219E-04    -1.449    0.2452    3.2395    0.5482
  2012.87474   -4.8416953340E-04    -0.761    0.2908    1.7012    0.6503
  2012.95688   -4.8416948866E-04    -0.313    0.3081    0.7007    0.6889
  2013.04175   -4.8416951189E-04    -0.546    0.2948    1.2201    0.6592
  2013.12663   -4.8416956143E-04    -1.041    0.2520    2.3280    0.5636
  2013.20329   -4.8416954837E-04    -0.910    0.2577    2.0358    0.5763
  2013.28816   -4.8416956060E-04    -1.033    0.2379    2.3093    0.5320
  2013.37029   -4.8416959228E-04    -1.350    0.2582    3.0178    0.5773
  2013.45517   -4.8416956042E-04    -1.031    0.3002    2.3053    0.6712
  2013.53730   -4.8416972534E-04    -2.680    0.3228    5.9931    0.7218
  2013.62218   -4.8416969796E-04    -2.406    0.2237    5.3809    0.5003
  2013.70705   -4.8416967098E-04    -2.137    0.2349    4.7776    0.5252
  2013.78919   -4.8416969153E-04    -2.342    0.2621    5.2371    0.5861
  2013.87406   -4.8416961284E-04    -1.555    0.3040    3.4775    0.6797
  2013.95619   -4.8416948853E-04    -0.312    0.2771    0.6980    0.6197
  2014.04107   -4.8416950920E-04    -0.519    0.2077    1.1602    0.4644
  2014.12594   -4.8416947754E-04    -0.202    0.2379    0.4522    0.5319
  2014.20260   -4.8416958773E-04    -1.304    0.2066    2.9160    0.4620
  2014.28747   -4.8416959645E-04    -1.391    0.1919    3.1111    0.4292
  2014.36961   -4.8416953738E-04    -0.801    0.2370    1.7903    0.5301
  2014.45448   -4.8416964196E-04    -1.846    0.2612    4.1288    0.5841
  2014.53662   -4.8416974109E-04    -2.838    0.2371    6.3453    0.5302
  2014.62149   -4.8416974446E-04    -2.871    0.2241    6.4206    0.5010
  2014.70637   -4.8416969598E-04    -2.387    0.2077    5.3367    0.4644
  2014.78850   -4.8416969898E-04    -2.417    0.2264    5.4037    0.5063
  2014.87337   -4.8416954055E-04    -0.832    0.2598    1.8611    0.5809
  2014.95551   -4.8416964969E-04    -1.924    0.2695    4.3015    0.6027
  2015.04038   -4.8416962890E-04    -1.716    0.2644    3.8366    0.5911
  2015.12526   -4.8416959167E-04    -1.343    0.2419    3.0042    0.5408
  2015.20192   -4.8416961690E-04    -1.596    0.2806    3.5682    0.6274
  2015.28679   -4.8416966034E-04    -2.030    0.2082    4.5396    0.4656
  2015.36893   -4.8416963040E-04    -1.731    0.2777    3.8702    0.6210
  2015.45380   -4.8416966212E-04    -2.048    0.2612    4.5794    0.5840
  2015.53593   -4.8416977604E-04    -3.187    0.3005    7.1267    0.6719
  2015.62081   -4.8416976606E-04    -3.087    0.2347    6.9037    0.5247
  2015.70568   -4.8416973377E-04    -2.765    0.2253    6.1817    0.5037
  2015.78782   -4.8416967579E-04    -2.185    0.2317    4.8851    0.5182
  2015.87269   -4.8416959080E-04    -1.335    0.2579    2.9847    0.5767
  2015.95483   -4.8416959185E-04    -1.345    0.2574    3.0081    0.5757
  2016.03970   -4.8416951528E-04    -0.580    0.3448    1.2960    0.7709
  2016.12457   -4.8416953953E-04    -0.822    0.1966    1.8383    0.4395
  2016.20397   -4.8416965981E-04    -2.025    0.2155    4.5278    0.4818
  2016.28884   -4.8416954078E-04    -0.835    0.2587    1.8663    0.5785
  2016.37098   -4.8416957304E-04    -1.157    0.2449    2.5875    0.5476
  2016.45585   -4.8416969759E-04    -2.403    0.2884    5.3727    0.6448
  2016.53799   -4.8416973562E-04    -2.783    0.2800    6.2230    0.6260
  2016.62286   -4.8416965940E-04    -2.021    0.2513    4.5186    0.5619
  2016.70773   -4.8416979705E-04    -3.397    0.2180    7.5965    0.4874
  2016.78987   -4.8416959249E-04    -1.352    0.2115    3.0225    0.4729
  2016.87474   -4.8416955537E-04    -0.980    0.2495    2.1924    0.5580
  2016.95688   -4.8416949585E-04    -0.385    0.2999    0.8616    0.6706
  2017.04175   -4.8416949532E-04    -0.380    0.2533    0.8498    0.5663
  2017.12663   -4.8416949463E-04    -0.373    0.1958    0.8344    0.4379
  2017.20329   -4.8416955309E-04    -0.958    0.1776    2.1414    0.3970
  2017.28816   -4.8416964180E-04    -1.845    0.2181    4.1251    0.4877
  2017.37029   -4.8416958488E-04    -1.276    0.2471    2.8523    0.5526
  2017.45517   -4.8416964162E-04    -1.843    0.2458    4.1210    0.5497
  2017.53730   -4.8416977791E-04    -3.206    0.2490    7.1687    0.5569
  2017.62218   -4.8416977707E-04    -3.198    0.2836    7.1498    0.6341
  2017.70705   -4.8416977379E-04    -3.165    0.2176    7.0765    0.4867
  2017.78919   -4.8416966887E-04    -2.115    0.2286    4.7303    0.5112
  2017.87406   -4.8416965371E-04    -1.964    0.2590    4.3914    0.5790
  2017.95619   -4.8416957007E-04    -1.127    0.3332    2.5211    0.7449
  2018.04107   -4.8416949378E-04    -0.365    0.2354    0.8153    0.5265
  2018.12594   -4.8416948442E-04    -0.271    0.2091    0.6060    0.4676
  2018.20260   -4.8416955458E-04    -0.973    0.2152    2.1749    0.4813
  2018.28747   -4.8416953645E-04    -0.791    0.2543    1.7694    0.5687
  2018.36961   -4.8416961356E-04    -1.562    0.2504    3.4937    0.5599
  2018.45448   -4.8416961190E-04    -1.546    0.3094    3.4566    0.6918
  2018.53662   -4.8416974612E-04    -2.888    0.2403    6.4578    0.5373
  2018.62149   -4.8416975249E-04    -2.952    0.2251    6.6003    0.5034
  2018.70637   -4.8416973524E-04    -2.779    0.2181    6.2145    0.4876
  2018.78850   -4.8416972706E-04    -2.697    0.2200    6.0317    0.4919
  2018.87337   -4.8416961730E-04    -1.600    0.2789    3.5773    0.6237
  2018.95551   -4.8416959578E-04    -1.385    0.3192    3.0962    0.7138
  2019.04038   -4.8416962265E-04    -1.653    0.2628    3.6970    0.5877
  2019.12526   -4.8416952059E-04    -0.633    0.2688    1.4147    0.6010
  2019.20192   -4.8416965782E-04    -2.005    0.2391    4.4833    0.5347
  2019.28679   -4.8416960569E-04    -1.484    0.2718    3.3176    0.6078
  2019.36893   -4.8416959641E-04    -1.391    0.2268    3.1102    0.5071
  2019.45380   -4.8416970078E-04    -2.435    0.2786    5.4440    0.6229
  2019.53593   -4.8416977443E-04    -3.171    0.2731    7.0908    0.6107
  2019.62081   -4.8416974655E-04    -2.892    0.2165    6.4674    0.4842
  2019.70568   -4.8416981864E-04    -3.613    0.1856    8.0793    0.4149
  2019.78782   -4.8416969559E-04    -2.383    0.2244    5.3279    0.5019
  2019.87269   -4.8416956912E-04    -1.118    0.2722    2.4999    0.6086
  2019.95483   -4.8416959123E-04    -1.339    0.2936    2.9943    0.6565
  2020.03970   -4.8416959976E-04    -1.424    0.2444    3.1851    0.5465
  2020.12457   -4.8416966124E-04    -2.039    0.3054    4.5598    0.6828
  2020.20397   -4.8416968686E-04    -2.295    0.2450    5.1328    0.5478
  2020.28884   -4.8416962410E-04    -1.668    0.2648    3.7292    0.5921
  2020.37098   -4.8416963519E-04    -1.779    0.2301    3.9772    0.5146
  2020.45585   -4.8416970826E-04    -2.509    0.3024    5.6111    0.6761
  2020.53799   -4.8416980933E-04    -3.520    0.2130    7.8712    0.4762
  2020.62286   -4.8416975922E-04    -3.019    0.2137    6.7508    0.4778
  2020.70773   -4.8416978454E-04    -3.272    0.2205    7.3169    0.4931
  2020.78987   -4.8416981182E-04    -3.545    0.2637    7.9268    0.5896
  2020.87474   -4.8416973183E-04    -2.745    0.3013    6.1382    0.6736
  2020.95688   -4.8416964958E-04    -1.923    0.2729    4.2990    0.6102
  2021.04175   -4.8416966113E-04    -2.038    0.2820    4.5573    0.6305
  2021.12663   -4.8416963651E-04    -1.792    0.2670    4.0068    0.5970
  2021.20329   -4.8416968209E-04    -2.248    0.2578    5.0259    0.5765
  2021.28816   -4.8416968247E-04    -2.251    0.2618    5.0345    0.5854
  2021.37029   -4.8416971150E-04    -2.542    0.2656    5.6837    0.5939
  2021.45517   -4.8416976429E-04    -3.070    0.3092    6.8640    0.6914
  2021.53730   -4.8416982012E-04    -3.628    0.2474    8.1125    0.5533
  2021.62218   -4.8416986923E-04    -4.119    0.2620    9.2105    0.5858
  2021.70705   -4.8416990371E-04    -4.464    0.2267    9.9817    0.5069
  2021.78919   -4.8416983937E-04    -3.821    0.2721    8.5429    0.6085
  2021.87406   -4.8416980046E-04    -3.431    0.2868    7.6728    0.6412
  2021.95619   -4.8416975888E-04    -3.016    0.3087    6.7431    0.6903
  2022.04107   -4.8416970041E-04    -2.431    0.2373    5.4357    0.5307
  2022.12594   -4.8416968892E-04    -2.316    0.2611    5.1787    0.5838
  2022.20260   -4.8416965814E-04    -2.008    0.2713    4.4906    0.6066
  2022.28747   -4.8416966386E-04    -2.065    0.2487    4.6183    0.5562
  2022.36961   -4.8416968296E-04    -2.256    0.2704    5.0454    0.6046
  2022.45448   -4.8416971550E-04    -2.582    0.3340    5.7731    0.7468
  2022.53662   -4.8416989179E-04    -4.345    0.3037    9.7151    0.6791
  2022.62149   -4.8416985363E-04    -3.963    0.3262    8.8618    0.7295
  2022.62149   -4.8416985363E-04    -3.963    0.3262    8.8618    0.7295
  2022.70637   -4.8416994010E-04    -4.828    0.2580   10.7953    0.5769
  2022.78850   -4.8416987307E-04    -4.157    0.2476    9.2964    0.5536
  2022.87337   -4.8416976288E-04    -3.056    0.3124    6.8326    0.6985
  2022.95551   -4.8416968493E-04    -2.276    0.3262    5.0896    0.7293
  2023.04038   -4.8416975077E-04    -2.934    0.2708    6.5617    0.6056
  2023.12526   -4.8416970490E-04    -2.476    0.2775    5.5360    0.6206
  2023.20192   -4.8416969462E-04    -2.373    0.2611    5.3062    0.5839
  2023.28679   -4.8416961661E-04    -1.593    0.3163    3.5618    0.7073
  2023.36893   -4.8416977163E-04    -3.143    0.3388    7.0281    0.7576
  2023.53593   -4.8416992283E-04    -4.655    0.2982   10.4091    0.6667
  2023.62081   -4.8416989168E-04    -4.344    0.2853    9.7125    0.6379
  2023.70568   -4.8416982857E-04    -3.713    0.2389    8.3015    0.5342
  2023.78782   -4.8416987331E-04    -4.160    0.2308    9.3019    0.5162
  2023.87269   -4.8416974129E-04    -2.840    0.3474    6.3497    0.7769
  2023.95483   -4.8416974919E-04    -2.919    0.3187    6.5263    0.7127
